Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,ITI FITTER,ITI 101,PROFESSIONAL KNOWLEDGE- TRADE THEORY,100,40,1st Semester,,
2,ITI FITTER,ITI 102,PROFESSIONAL SKILLS-TRADE PRACTICAL,100,40,1st Semester,,
3,ITI FITTER,ITI 103,ENGINEERING DRAWING,100,40,1st Semester,,
4,ITI FITTER,ITI 104,WORKSHOP CALCULATION & SCIENCE,100,40,1st Semester,,
5,ITI FITTER,ITI 105,EMPLOYABILITY SKILLS,100,40,1st Semester,,
6,ITI FITTER,ITI 201,PROFESSIONAL KNOWLEDGE- TRADE THEORY,100,40,2nd Semester,,
7,ITI FITTER,ITI 202,PROFESSIONAL SKILLS-TRADE PRACTICAL,100,40,2nd Semester,,
8,ITI FITTER,ITI 203,ENGINEERING DRAWING,100,40,2nd Semester,,
9,ITI FITTER,ITI 204,WORKSHOP CALCULATION & SCIENCE,100,40,2nd Semester,,
10,ITI FITTER,ITI 205,EMPLOYABILITY SKILLS,100,40,2nd Semester,,
11,ITI FITTER,ITI 301,PROFESSIONAL KNOWLEDGE- TRADE THEORY,100,40,3rd Semester,,
12,ITI FITTER,ITI 302,PROFESSIONAL SKILLS- TRADE PRACTICAL,100,40,3rd Semester,,
13,ITI FITTER,ITI 303,ENGINEERING DRAWING,100,40,3rd Semester,,
14,ITI FITTER,ITI 304,WORKSHOP CALCULATION & SCIENCE,100,40,3rd Semester,,
15,ITI FITTER,ITI 305,EMPLOYABILITY SKILLS,100,40,3rd Semester,,
16,ITI FITTER,ITI 401,PROFESSIONAL KNOWLEDGE- TRADE THEORY,100,40,4th Semester,,
17,ITI FITTER,ITI 402,PROFESSIONAL SKILLS- TRADE PRACTICAL,100,40,4th Semester,,
18,ITI FITTER,ITI 403,ENGINEERING DRAWING,100,40,4th Semester,,
19,ITI FITTER,ITI 404,WORKSHOP CALCULATION & SCIENCE,100,40,4th Semester,,
20,ITI FITTER,ITI 405,EMPLOYABILITY SKILLS,100,40,4th Semester,,
