Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,DIPLOMA IN BUSINESS MANAGEMENT,DBM 101,PRINCIPLES OF MANAGEMENT,100,40,,,1st Year
2,DIPLOMA IN BUSINESS MANAGEMENT,DBM 102,BUSINESS COMMUNICATION & PERSONALITY DEVELOPMENT,100,40,,,1st Year
3,DIPLOMA IN BUSINESS MANAGEMENT,DBM 103,BUSINESS ECONOMICS,100,40,,,1st Year
4,DIPLOMA IN BUSINESS MANAGEMENT,DBM 104,FINANCIAL ACCOUNTING,100,40,,,1st Year
5,DIPLOMA IN BUSINESS MANAGEMENT,DBM 105,MARKETING MANAGEMENT,100,40,,,1st Year
6,DIPLOMA IN BUSINESS MANAGEMENT,DBM 106,HUMAN RESOURCE MANAGEMENT,100,40,,,1st Year
7,DIPLOMA IN BUSINESS MANAGEMENT,DBM 107,BUSINESS MATHEMATICS & STATISTICS,100,40,,,1st Year
8,DIPLOMA IN BUSINESS MANAGEMENT,DBM 108,COMPUTER APPLICATIONS IN BUSINESS,100,40,,,1st Year
9,DIPLOMA IN BUSINESS MANAGEMENT,DBM 109,BUSINESS ENVIRONMENT & ENTREPRENEURSHIP,100,40,,,1st Year
10,DIPLOMA IN BUSINESS MANAGEMENT,DBM 110,ENVIRONMENTAL STUDIES & BUSINESS ETHICS,100,40,,,1st Year
11,DIPLOMA IN BUSINESS MANAGEMENT,DBM 111,PROJECT/ VIVA,100,40,,,1st Year
12,DIPLOMA IN BUSINESS MANAGEMENT,DBM 112,PRACTICAL,100,40,,,1st Year
13,DIPLOMA IN BUSINESS MANAGEMENT,DBM 201,FINANCIAL MANAGEMENT,100,40,,,2nd Year
14,DIPLOMA IN BUSINESS MANAGEMENT,DBM 202,OPERATIONS & PRODUCTION MANAGEMENT,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 203,SALES & DISTRIBUTION MANAGEMENT,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 204,CUSTOMER RELATIONSHIP MANAGEMENT (CRM),100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 205,BUSINESS LAW,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 206,E-COMMERCE & DIGITAL BUSINESS,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 207,SUPPLY CHAIN & LOGISTICS MANAGEMENT,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 208,STRATEGIC MANAGEMENT,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 209,LEADERSHIP & ORGANIZATIONAL BEHAVIOUR,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 210,BUSINESS PROJECT & ENTREPRENEURSHIP DEVELOPMENT,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 211,PROJECT/ VIVA,100,40,,,2nd Year
15,DIPLOMA IN BUSINESS MANAGEMENT,DBM 212,PRACTICAL,100,40,,,2nd Year
